EDT,variable,value
2012-06-04,Min DewpointF,54
2012-06-04, Mean Humidity,84
2012-06-04, Mean VisibilityMiles,8
2012-06-04, CloudCover,4
2012-06-04, Mean Sea Level PressureIn,29.84
2012-06-04,Max Dew PointF,63
2012-06-04,Min TemperatureF,56
2012-06-04, Mean Wind SpeedMPH,2
2012-06-04, Max Wind SpeedMPH,9
2012-06-04,Mean TemperatureF,62
2012-06-04, WindDirDegrees,323
2012-06-04, Max VisibilityMiles,10
2012-06-04, Max Sea Level PressureIn,29.89
2012-06-05,Max TemperatureF,76
2012-06-05, WindDirDegrees,37
2012-06-05, Mean VisibilityMiles,10
2012-06-05,Min DewpointF,47
2012-06-05,MeanDew PointF,50
2012-06-05,Mean TemperatureF,63
2012-06-05, Min VisibilityMiles,10
2012-06-05, Max Wind SpeedMPH,18
2012-06-05,PrecipitationIn,0.00
2012-06-05, Mean Humidity,66
2012-06-05, Mean Sea Level PressureIn,29.9
2012-06-05, Min Humidity,38
2012-06-05, CloudCover,2
2012-06-05, Max VisibilityMiles,10
2012-06-05,Max Humidity,93
2012-06-05,Max Dew PointF,55
2012-06-05, Mean Wind SpeedMPH,7
2012-06-05,Min TemperatureF,49
2012-06-05, Min Sea Level PressureIn,29.84
2012-06-05, Max Gust SpeedMPH,22.0
2012-06-05, Max Sea Level PressureIn,29.96
2012-06-06, Mean Wind SpeedMPH,5
2012-06-06,PrecipitationIn,0.00
2012-06-06, Max Sea Level PressureIn,30.05
2012-06-06,Max TemperatureF,78
2012-06-06, Max VisibilityMiles,10
2012-06-06, Max Gust SpeedMPH,26.0
2012-06-06,Max Humidity,93
2012-06-06, WindDirDegrees,38
2012-06-06,Mean TemperatureF,62
2012-06-06, Mean Humidity,63
2012-06-06, Max Wind SpeedMPH,16
2012-06-06, Min VisibilityMiles,10
2012-06-06,MeanDew PointF,47
2012-06-06, Min Sea Level PressureIn,29.96
2012-06-06,Min TemperatureF,45
2012-06-06,Max Dew PointF,50
2012-06-06, Min Humidity,33
2012-06-06,Min DewpointF,44
2012-06-06, Mean VisibilityMiles,10
2012-06-06, Mean Sea Level PressureIn,30.0
2012-06-07,MeanDew PointF,48
2012-06-07,Min TemperatureF,47
2012-06-07, CloudCover,0
2012-06-07, Min Sea Level PressureIn,30.04
2012-06-07, Max Gust SpeedMPH,16.0
2012-06-07, Mean VisibilityMiles,10
2012-06-07, Mean Wind SpeedMPH,3
2012-06-07,Max Dew PointF,54
2012-06-07, Mean Sea Level PressureIn,30.07
2012-06-07,Max TemperatureF,83
2012-06-07, Max VisibilityMiles,10
2012-06-07, Mean Humidity,61
2012-06-07,PrecipitationIn,0.00
2012-06-07, Max Sea Level PressureIn,30.11
2012-06-07, Max Wind SpeedMPH,12
2012-06-07,Mean TemperatureF,65
2012-06-07, Min Humidity,28
2012-06-07, Min VisibilityMiles,9
2012-06-07,Max Humidity,93
2012-06-07,Min DewpointF,45
2012-06-07, WindDirDegrees,33
2012-06-08,Min DewpointF,43
2012-06-08, Mean Humidity,60
2012-06-08,MeanDew PointF,50
2012-06-08, Mean VisibilityMiles,10
2012-06-08,Min TemperatureF,51
2012-06-08, Mean Sea Level PressureIn,30.05
2012-06-08, Min Humidity,23
2012-06-08, Min VisibilityMiles,10
2012-06-08,Max TemperatureF,85
2012-06-08,Max Dew PointF,55
2012-06-08, Mean Wind SpeedMPH,2
2012-06-08, Min Sea Level PressureIn,29.97
2012-06-08,Max Humidity,96
2012-06-08, Max Wind SpeedMPH,9
2012-06-08,Mean TemperatureF,68
2012-06-08, WindDirDegrees,261
2012-06-08, Max Gust SpeedMPH,13.0
2012-06-08, Max VisibilityMiles,10
2012-06-08, Max Sea Level PressureIn,30.11
2012-06-08,PrecipitationIn,0.00
2012-06-09, CloudCover,0
2012-06-09,Min DewpointF,47
2012-06-09,PrecipitationIn,0.00
2012-06-09, Min Humidity,27
2012-06-09, Max Sea Level PressureIn,30.03
2012-06-09, Mean Wind SpeedMPH,2
2012-06-09, Mean Humidity,60
2012-06-09, WindDirDegrees,184
2012-06-09, Max Wind SpeedMPH,14
2012-06-09,Max TemperatureF,87
2012-06-09, Min Sea Level PressureIn,29.92
2012-06-09,Mean TemperatureF,70
2012-06-09,MeanDew PointF,54
2012-06-09, Max Gust SpeedMPH,18.0
2012-06-09,Max Dew PointF,60
2012-06-09, Max VisibilityMiles,10
2012-06-09,Max Humidity,93
2012-06-09, Mean Sea Level PressureIn,29.98
2012-06-09,Min TemperatureF,52
2012-06-09, Min VisibilityMiles,10
2012-06-09, Mean VisibilityMiles,10
2012-06-10, Max Sea Level PressureIn,30.01
2012-06-10, Max Wind SpeedMPH,18
2012-06-10,Max TemperatureF,88
2012-06-10, Mean Sea Level PressureIn,29.97
2012-06-10, Min Humidity,40
2012-06-10, Mean VisibilityMiles,10
2012-06-10,Min DewpointF,57
2012-06-10, Min VisibilityMiles,5
2012-06-10, Max VisibilityMiles,10
2012-06-10,Max Dew PointF,63
2012-06-10,PrecipitationIn,T
2012-06-10,Min TemperatureF,58
2012-06-10, Max Gust SpeedMPH,26.0
2012-06-10, Min Sea Level PressureIn,29.93
2012-06-10,Max Humidity,100
2012-06-10, WindDirDegrees,157
2012-06-10, Mean Wind SpeedMPH,6
2012-06-10, Mean Humidity,70
2012-06-10,MeanDew PointF,60
2012-06-10,Mean TemperatureF,73
2012-06-11, WindDirDegrees,186
2012-06-11,PrecipitationIn,0.00
2012-06-11,MeanDew PointF,66
2012-06-11, Min Sea Level PressureIn,29.81
2012-06-11, Mean Wind SpeedMPH,5
2012-06-11, Max Gust SpeedMPH,21.0
2012-06-11, Mean Humidity,77
2012-06-11, Max Sea Level PressureIn,29.96
2012-06-11,Max TemperatureF,84
2012-06-11, Min Humidity,63
2012-06-11, Mean VisibilityMiles,10
2012-06-11,Max Humidity,90
2012-06-11, CloudCover,5
2012-06-11, Max VisibilityMiles,10
2012-06-11,Min TemperatureF,65
2012-06-11, Mean Sea Level PressureIn,29.92
2012-06-11, Min VisibilityMiles,10
2012-06-11,Mean TemperatureF,75
2012-06-11,Max Dew PointF,69
2012-06-11,Min DewpointF,64
2012-06-11, Max Wind SpeedMPH,16
2012-06-12,Min DewpointF,42
2012-06-12, Min VisibilityMiles,4
2012-06-12, Max Wind SpeedMPH,16
2012-06-12, Max VisibilityMiles,10
2012-06-12, Mean Sea Level PressureIn,29.97
2012-06-12,Max Dew PointF,66
2012-06-12, Mean Humidity,62
2012-06-12, Max Gust SpeedMPH,21.0
2012-06-12,PrecipitationIn,0.00
2012-06-12, Min Sea Level PressureIn,29.88
2012-06-12,Mean TemperatureF,72
2012-06-12,MeanDew PointF,52
2012-06-12,Max TemperatureF,82
2012-06-12, WindDirDegrees,314
2012-06-12, Min Humidity,24
2012-06-12, Mean Wind SpeedMPH,5
2012-06-12, Max Sea Level PressureIn,30.06
2012-06-12, Mean VisibilityMiles,10
2012-06-12,Max Humidity,100
2012-06-12,Min TemperatureF,61
2012-06-13, Mean VisibilityMiles,10
2012-06-13,MeanDew PointF,49
2012-06-13, WindDirDegrees,58
2012-06-13, CloudCover,0
2012-06-13, Mean Wind SpeedMPH,5
2012-06-13,Max Humidity,71
2012-06-13, Min Humidity,33
2012-06-13,Min TemperatureF,53
2012-06-13, Max VisibilityMiles,10
2012-06-13, Mean Sea Level PressureIn,30.08
2012-06-13, Max Wind SpeedMPH,14
2012-06-13,Mean TemperatureF,68
2012-06-13, Min Sea Level PressureIn,30.04
2012-06-13, Max Sea Level PressureIn,30.13
2012-06-13, Max Gust SpeedMPH,23.0
2012-06-13, Min VisibilityMiles,10
2012-06-13,Min DewpointF,44
2012-06-13,Max TemperatureF,82
2012-06-13,PrecipitationIn,0.00
2012-06-13, Mean Humidity,52
2012-06-13,Max Dew PointF,52
2012-06-14,Max Dew PointF,52
2012-06-14,MeanDew PointF,48
2012-06-14, Mean Sea Level PressureIn,30.08
2012-06-14,Max Humidity,96
2012-06-14, Min Humidity,23
2012-06-14, Min VisibilityMiles,10
2012-06-14, Mean VisibilityMiles,10
2012-06-14, Min Sea Level PressureIn,30.03
2012-06-14, Mean Wind SpeedMPH,4
2012-06-14,Max TemperatureF,86
2012-06-14, Max Wind SpeedMPH,13
2012-06-14,Mean TemperatureF,68
2012-06-14,PrecipitationIn,0.00
2012-06-14, WindDirDegrees,131
2012-06-14, Mean Humidity,60
2012-06-14, Max Gust SpeedMPH,16.0
2012-06-14,Min DewpointF,43
2012-06-14, Max VisibilityMiles,10
2012-06-14,Min TemperatureF,50
2012-06-14, Max Sea Level PressureIn,30.12
2012-06-14, CloudCover,0
2012-06-15,Mean TemperatureF,70
2012-06-15,PrecipitationIn,0.00
2012-06-15, Max Wind SpeedMPH,12
2012-06-15, Min Humidity,23
2012-06-15, WindDirDegrees,130
2012-06-15,Max TemperatureF,90
2012-06-15, Mean Wind SpeedMPH,2
2012-06-15,Max Dew PointF,56
2012-06-15, Mean VisibilityMiles,10
2012-06-15,Min TemperatureF,50
2012-06-15, Max Sea Level PressureIn,30.12
2012-06-15,MeanDew PointF,51
2012-06-15, CloudCover,0
2012-06-15, Mean Humidity,60
2012-06-15,Max Humidity,96
2012-06-15, Mean Sea Level PressureIn,30.07
2012-06-15, Min Sea Level PressureIn,30.04
2012-06-15, Max Gust SpeedMPH,16.0
2012-06-15,Min DewpointF,46
2012-06-15, Min VisibilityMiles,9
2012-06-15, Max VisibilityMiles,10
2012-06-16, Mean Sea Level PressureIn,30.06
2012-06-16,Max Humidity,90
2012-06-16, Max Wind SpeedMPH,16
2012-06-16,MeanDew PointF,62
2012-06-16, Max Gust SpeedMPH,22.0
2012-06-16,Min TemperatureF,61
2012-06-16, Min VisibilityMiles,10
2012-06-16,Max Dew PointF,68
2012-06-16,Min DewpointF,56
2012-06-16,Mean TemperatureF,77
2012-06-16, Max Sea Level PressureIn,30.13
2012-06-16, Max VisibilityMiles,10
2012-06-16, Mean VisibilityMiles,10
2012-06-16, WindDirDegrees,202
2012-06-16, CloudCover,0
2012-06-16, Mean Wind SpeedMPH,6
2012-06-16, Mean Humidity,63
2012-06-16,Max TemperatureF,92
2012-06-16, Min Sea Level PressureIn,29.98
2012-06-16,PrecipitationIn,0.00
2012-06-16, Min Humidity,36
2012-06-17, Min VisibilityMiles,10
2012-06-17,PrecipitationIn,0.02
2012-06-17, Max VisibilityMiles,10
2012-06-17, Mean Sea Level PressureIn,29.92
2012-06-17,Min TemperatureF,73
2012-06-17, CloudCover,2
2012-06-17, Mean VisibilityMiles,10
2012-06-17, Max Sea Level PressureIn,29.99
2012-06-17,Max Humidity,79
2012-06-17, WindDirDegrees,222
2012-06-17, Mean Wind SpeedMPH,9
2012-06-17, Mean Humidity,64
2012-06-17, Min Sea Level PressureIn,29.87
2012-06-17,Mean TemperatureF,80
2012-06-17, Min Humidity,48
2012-06-17, Max Wind SpeedMPH,18
2012-06-17,Max TemperatureF,86
2012-06-17,Max Dew PointF,68
2012-06-17, Max Gust SpeedMPH,25.0
2012-06-17,MeanDew PointF,66
2012-06-17,Min DewpointF,64
2012-06-18,MeanDew PointF,64
2012-06-18,Mean TemperatureF,81
2012-06-18, Events,Rain-Thunderstorm
2012-06-18, Mean VisibilityMiles,10
2012-06-18, WindDirDegrees,209
2012-06-18, Mean Wind SpeedMPH,10
2012-06-18, Mean Humidity,64
2012-06-18, Min Sea Level PressureIn,29.86
2012-06-18,Max Dew PointF,70
2012-06-18, Max Gust SpeedMPH,29.0
2012-06-18,Min DewpointF,60
2012-06-18, Mean Sea Level PressureIn,29.89
2012-06-18,PrecipitationIn,0.01
2012-06-18, Max VisibilityMiles,10
2012-06-18,Min TemperatureF,70
2012-06-18, Min VisibilityMiles,8
2012-06-18,Max Humidity,90
2012-06-18, Min Humidity,38
2012-06-18, Max Sea Level PressureIn,29.94
2012-06-18,Max TemperatureF,91
2012-06-18, Max Wind SpeedMPH,21
2012-06-19,Max TemperatureF,93
2012-06-19, Max Sea Level PressureIn,30.07
2012-06-19, Max Gust SpeedMPH,25.0
2012-06-19, Mean VisibilityMiles,10
2012-06-19, CloudCover,0
2012-06-19,Mean TemperatureF,81
2012-06-19,MeanDew PointF,62
2012-06-19,Min DewpointF,59
2012-06-19,Max Dew PointF,65
2012-06-19, Mean Humidity,56
2012-06-19, Max Wind SpeedMPH,18
2012-06-19, Min Humidity,34
2012-06-19,Max Humidity,78
2012-06-19, Mean Wind SpeedMPH,8
2012-06-19, WindDirDegrees,200
2012-06-19, Min VisibilityMiles,10
2012-06-19,Min TemperatureF,68
2012-06-19, Min Sea Level PressureIn,29.95
2012-06-19, Max VisibilityMiles,10
2012-06-19, Mean Sea Level PressureIn,30.02
2012-06-19,PrecipitationIn,0.00
2012-06-20, Min Sea Level PressureIn,29.99
2012-06-20, Max Gust SpeedMPH,21.0
2012-06-20,Max TemperatureF,93
2012-06-20, Min VisibilityMiles,10
2012-06-20,Max Dew PointF,64
2012-06-20,Mean TemperatureF,79
2012-06-20,Min DewpointF,56
2012-06-20, Mean Wind SpeedMPH,7
2012-06-20, WindDirDegrees,191
2012-06-20, Max Wind SpeedMPH,15
2012-06-20, Max Sea Level PressureIn,30.13
2012-06-20,MeanDew PointF,61
2012-06-20,Max Humidity,87
2012-06-20,PrecipitationIn,0.00
2012-06-20, Mean VisibilityMiles,10
2012-06-20, Mean Humidity,59
2012-06-20, CloudCover,0
2012-06-20, Min Humidity,30
2012-06-20, Max VisibilityMiles,10
2012-06-20,Min TemperatureF,64
2012-06-20, Mean Sea Level PressureIn,30.06
2012-06-21,Max Humidity,87
2012-06-21,Max TemperatureF,92
2012-06-21, Max Gust SpeedMPH,25.0
2012-06-21, Min Sea Level PressureIn,29.89
2012-06-21,MeanDew PointF,62
2012-06-21,Min DewpointF,57
2012-06-21, Mean Sea Level PressureIn,29.97
2012-06-21,PrecipitationIn,0.00
2012-06-21, Mean Wind SpeedMPH,7
2012-06-21, WindDirDegrees,251
2012-06-21, Max VisibilityMiles,10
2012-06-21, Max Sea Level PressureIn,30.02
2012-06-21,Mean TemperatureF,79
2012-06-21, Max Wind SpeedMPH,20
2012-06-21,Max Dew PointF,66
2012-06-21, CloudCover,2
2012-06-21, Mean VisibilityMiles,10
2012-06-21, Mean Humidity,60
2012-06-21, Min Humidity,32
2012-06-21, Min VisibilityMiles,10
2012-06-21,Min TemperatureF,65
2012-06-22, Max Gust SpeedMPH,18.0
2012-06-22,Min TemperatureF,60
2012-06-22,Max TemperatureF,88
2012-06-22,Max Humidity,100
2012-06-22, Mean Wind SpeedMPH,4
2012-06-22,MeanDew PointF,59
2012-06-22, Min Humidity,30
2012-06-22,Max Dew PointF,66
2012-06-22,PrecipitationIn,0.00
2012-06-22, Max Wind SpeedMPH,14
2012-06-22, Mean VisibilityMiles,6
2012-06-22,Mean TemperatureF,74
2012-06-22, Min VisibilityMiles,0
2012-06-22, Min Sea Level PressureIn,29.91
2012-06-22, Mean Sea Level PressureIn,29.96
2012-06-22, WindDirDegrees,350
2012-06-22, Max VisibilityMiles,10
2012-06-22, Events,Fog
2012-06-22, Max Sea Level PressureIn,29.99
2012-06-22, Mean Humidity,65
2012-06-22,Min DewpointF,51
2012-06-23,MeanDew PointF,51
2012-06-23, Mean Sea Level PressureIn,29.99
2012-06-23, Min Humidity,22
2012-06-23,Min TemperatureF,52
2012-06-23,Min DewpointF,45
2012-06-23, Max Gust SpeedMPH,18.0
2012-06-23, Mean Humidity,58
2012-06-23, Max Sea Level PressureIn,30.03
2012-06-23,Max TemperatureF,89
2012-06-23, Max VisibilityMiles,10
2012-06-23, WindDirDegrees,76
2012-06-23, Min Sea Level PressureIn,29.96
2012-06-23, Min VisibilityMiles,10
2012-06-23,Mean TemperatureF,71
2012-06-23, Mean VisibilityMiles,10
2012-06-23, Max Wind SpeedMPH,13
2012-06-23, CloudCover,0
2012-06-23,PrecipitationIn,0.00
2012-06-23, Mean Wind SpeedMPH,3
2012-06-23,Max Dew PointF,60
2012-06-23,Max Humidity,93
2012-06-24, Max Gust SpeedMPH,20.0
2012-06-24,MeanDew PointF,56
2012-06-24, Max Sea Level PressureIn,30.01
2012-06-24, WindDirDegrees,261
2012-06-24,Min DewpointF,52
2012-06-24,Max TemperatureF,92
2012-06-24, CloudCover,0
2012-06-24, Max VisibilityMiles,10
2012-06-24,PrecipitationIn,0.00
2012-06-24,Mean TemperatureF,75
2012-06-24, Mean Sea Level PressureIn,29.96
2012-06-24, Max Wind SpeedMPH,10
2012-06-24, Mean VisibilityMiles,10
2012-06-24,Max Dew PointF,61
2012-06-24,Max Humidity,90
2012-06-24, Min VisibilityMiles,10
2012-06-24, Min Humidity,27
2012-06-24,Min TemperatureF,58
2012-06-24, Min Sea Level PressureIn,29.9
2012-06-24, Mean Humidity,59
2012-06-25, WindDirDegrees,34
2012-06-25, CloudCover,2
2012-06-25, Max Gust SpeedMPH,25.0
2012-06-25, Max VisibilityMiles,10
2012-06-25,PrecipitationIn,0.00
2012-06-25,Max Dew PointF,62
2012-06-25, Mean Sea Level PressureIn,29.91
2012-06-25, Min Humidity,18
2012-06-25, Mean Humidity,48
2012-06-25, Mean VisibilityMiles,10
2012-06-25,Min DewpointF,39
2012-06-25, Max Sea Level PressureIn,29.95
2012-06-25,Max Humidity,78
2012-06-25,Max TemperatureF,89
2012-06-25, Max Wind SpeedMPH,20
2012-06-25,Mean TemperatureF,79
2012-06-25,MeanDew PointF,53
2012-06-25,Min TemperatureF,68
2012-06-25, Min VisibilityMiles,7
2012-06-25, Min Sea Level PressureIn,29.88
2012-06-25, Mean Wind SpeedMPH,9
2012-06-26, Max VisibilityMiles,10
2012-06-26, Max Wind SpeedMPH,17
2012-06-26, Mean Sea Level PressureIn,29.97
2012-06-26, Min Humidity,20
2012-06-26, Max Sea Level PressureIn,30.03
2012-06-26,Max TemperatureF,84
2012-06-26,Min TemperatureF,56
2012-06-26, Mean Humidity,42
2012-06-26,Max Dew PointF,49
2012-06-26, Mean VisibilityMiles,10
2012-06-26, Max Gust SpeedMPH,24.0
2012-06-26,Max Humidity,64
2012-06-26, WindDirDegrees,76
2012-06-26, Mean Wind SpeedMPH,7
2012-06-26, Min Sea Level PressureIn,29.93
2012-06-26,MeanDew PointF,44
2012-06-26,Mean TemperatureF,70
2012-06-26, Min VisibilityMiles,10
2012-06-26,Min DewpointF,38
2012-06-26,PrecipitationIn,0.00
2012-06-26, CloudCover,0
2012-06-27, WindDirDegrees,188
2012-06-27, CloudCover,0
2012-06-27, Min VisibilityMiles,10
2012-06-27,PrecipitationIn,0.00
2012-06-27, Max Sea Level PressureIn,30.04
2012-06-27, Max Gust SpeedMPH,18.0
2012-06-27,Min TemperatureF,51
2012-06-27,Max Dew PointF,52
2012-06-27, Mean Humidity,55
2012-06-27, Mean VisibilityMiles,10
2012-06-27, Mean Wind SpeedMPH,5
2012-06-27, Max VisibilityMiles,10
2012-06-27,MeanDew PointF,48
2012-06-27, Min Humidity,20
2012-06-27,Max Humidity,89
2012-06-27,Min DewpointF,44
2012-06-27,Max TemperatureF,92
2012-06-27, Max Wind SpeedMPH,13
2012-06-27,Mean TemperatureF,72
2012-06-27, Min Sea Level PressureIn,29.89
2012-06-27, Mean Sea Level PressureIn,29.97
2012-06-28,Mean TemperatureF,85
2012-06-28,Min DewpointF,51
2012-06-28,Max Humidity,68
2012-06-28, Mean Humidity,45
2012-06-28, Mean Sea Level PressureIn,29.87
2012-06-28, Max Wind SpeedMPH,18
2012-06-28, Min Humidity,22
2012-06-28, Max Gust SpeedMPH,26.0
2012-06-28,Max TemperatureF,103
2012-06-28, CloudCover,0
2012-06-28, WindDirDegrees,246
2012-06-28, Min VisibilityMiles,10
2012-06-28, Max Sea Level PressureIn,29.91
2012-06-28,Min TemperatureF,67
2012-06-28, Mean VisibilityMiles,10
2012-06-28,PrecipitationIn,0.00
2012-06-28, Max VisibilityMiles,10
2012-06-28, Mean Wind SpeedMPH,9
2012-06-28,MeanDew PointF,57
2012-06-28, Min Sea Level PressureIn,29.82
2012-06-28,Max Dew PointF,63
2012-06-29, Mean Sea Level PressureIn,29.84
2012-06-29, Mean VisibilityMiles,10
2012-06-29, Max Gust SpeedMPH,26.0
2012-06-29, Max Sea Level PressureIn,29.89
2012-06-29,Max Humidity,74
2012-06-29,Max TemperatureF,103
2012-06-29, Mean Humidity,50
2012-06-29, Max VisibilityMiles,10
2012-06-29,MeanDew PointF,66
2012-06-29, WindDirDegrees,268
2012-06-29, Min Humidity,25
2012-06-29, Min VisibilityMiles,10
2012-06-29, CloudCover,0
2012-06-29, Max Wind SpeedMPH,22
2012-06-29,PrecipitationIn,0.00
2012-06-29,Max Dew PointF,74
2012-06-29, Mean Wind SpeedMPH,6
2012-06-29,Mean TemperatureF,89
2012-06-29, Min Sea Level PressureIn,29.79
2012-06-29,Min DewpointF,58
2012-06-29,Min TemperatureF,74
2012-06-30, Mean Sea Level PressureIn,29.83
2012-06-30, Max Gust SpeedMPH,26.0
2012-06-30, Min Sea Level PressureIn,29.78
2012-06-30, WindDirDegrees,107
2012-06-30,MeanDew PointF,66
2012-06-30,Min DewpointF,63
2012-06-30, Max VisibilityMiles,10
2012-06-30,Max Humidity,84
2012-06-30, Mean Wind SpeedMPH,4
2012-06-30,Max TemperatureF,98
2012-06-30, Max Sea Level PressureIn,29.88
2012-06-30,Mean TemperatureF,85
2012-06-30, Mean VisibilityMiles,10
2012-06-30,Min TemperatureF,71
2012-06-30, Min VisibilityMiles,10
2012-06-30, Min Humidity,33
2012-06-30, Mean Humidity,59
2012-06-30,PrecipitationIn,0.00
2012-06-30, CloudCover,0
2012-06-30, Max Wind SpeedMPH,18
2012-06-30,Max Dew PointF,71
2012-07-01, Max Wind SpeedMPH,25
2012-07-01, CloudCover,2
2012-07-01, Min VisibilityMiles,8
2012-07-01,Mean TemperatureF,84
2012-07-01, WindDirDegrees,178
2012-07-01, Mean Wind SpeedMPH,6
2012-07-01, Max VisibilityMiles,10
2012-07-01,Max Humidity,93
2012-07-01, Mean Humidity,61
2012-07-01, Mean Sea Level PressureIn,29.93
2012-07-01, Max Gust SpeedMPH,31.0
2012-07-01,Min DewpointF,61
2012-07-01, Min Sea Level PressureIn,29.86
2012-07-01,MeanDew PointF,66
2012-07-01,Max TemperatureF,101
2012-07-01, Max Sea Level PressureIn,30.03
2012-07-01, Mean VisibilityMiles,10
2012-07-01, Min Humidity,29
2012-07-01,Max Dew PointF,69
2012-07-01,PrecipitationIn,0.10
2012-07-01,Min TemperatureF,67
2012-07-01, Events,Thunderstorm
2012-07-02,Min TemperatureF,65
2012-07-02,Max Humidity,100
2012-07-02, Mean VisibilityMiles,9
2012-07-02, Max Gust SpeedMPH,18.0
2012-07-02, Max Sea Level PressureIn,30.03
2012-07-02,Max TemperatureF,98
2012-07-02, Max VisibilityMiles,10
2012-07-02, Min VisibilityMiles,4
2012-07-02, Events,Thunderstorm
2012-07-02,Max Dew PointF,70
2012-07-02, Max Wind SpeedMPH,14
2012-07-02,PrecipitationIn,0.00
2012-07-02, Mean Wind SpeedMPH,3
2012-07-02,MeanDew PointF,65
2012-07-02, WindDirDegrees,242
2012-07-02, Min Sea Level PressureIn,29.92
2012-07-02, Mean Sea Level PressureIn,29.98
2012-07-02, Min Humidity,33
2012-07-02,Mean TemperatureF,82
2012-07-02, Mean Humidity,67
2012-07-02,Min DewpointF,62
2012-07-03, Max Sea Level PressureIn,30.01
2012-07-03, Mean Wind SpeedMPH,4
2012-07-03,Max TemperatureF,95
2012-07-03,Max Dew PointF,68
2012-07-03,Mean TemperatureF,80
2012-07-03,PrecipitationIn,0.00
2012-07-03, Mean Humidity,62
2012-07-03, Min VisibilityMiles,10
2012-07-03,Min DewpointF,62
2012-07-03, Max VisibilityMiles,10
2012-07-03, Min Humidity,36
2012-07-03, Mean Sea Level PressureIn,29.94
2012-07-03, Min Sea Level PressureIn,29.86
2012-07-03, Mean VisibilityMiles,10
2012-07-03,MeanDew PointF,64
2012-07-03, Max Wind SpeedMPH,13
2012-07-03,Max Humidity,87
2012-07-03,Min TemperatureF,65
2012-07-03, Events,Thunderstorm
2012-07-03, Max Gust SpeedMPH,16.0
2012-07-03, WindDirDegrees,237
2012-07-03, CloudCover,0
2012-07-04, Max Wind SpeedMPH,13
2012-07-04, Mean Wind SpeedMPH,5
2012-07-04, Mean Sea Level PressureIn,29.91
2012-07-04,Min DewpointF,64
2012-07-04,PrecipitationIn,0.00
2012-07-04, Min VisibilityMiles,10
2012-07-04,Mean TemperatureF,87
2012-07-04, Min Humidity,31
2012-07-04, Min Sea Level PressureIn,29.87
2012-07-04, Mean Humidity,58
2012-07-04, Mean VisibilityMiles,10
2012-07-04, Max VisibilityMiles,10
2012-07-04,Max TemperatureF,101
2012-07-04, Max Sea Level PressureIn,29.95
2012-07-04,Max Dew PointF,71
2012-07-04, Max Gust SpeedMPH,18.0
2012-07-04,Min TemperatureF,73
2012-07-04,Max Humidity,84
2012-07-04, WindDirDegrees,253
2012-07-04,MeanDew PointF,67
2012-07-05, CloudCover,0
2012-07-05, Max Sea Level PressureIn,29.97
2012-07-05,PrecipitationIn,0.00
2012-07-05, Min Sea Level PressureIn,29.89
2012-07-05, Min VisibilityMiles,10
2012-07-05, WindDirDegrees,314
2012-07-05, Max Gust SpeedMPH,20.0
2012-07-05,Min TemperatureF,70
2012-07-05, Mean Wind SpeedMPH,3
2012-07-05, Min Humidity,23
2012-07-05, Max Wind SpeedMPH,13
2012-07-05, Mean Humidity,57
2012-07-05,Max Dew PointF,71
2012-07-05,Mean TemperatureF,87
2012-07-05,Max Humidity,90
2012-07-05, Mean Sea Level PressureIn,29.93
2012-07-05, Max VisibilityMiles,10
2012-07-05, Mean VisibilityMiles,10
2012-07-05,Max TemperatureF,103
2012-07-05,MeanDew PointF,65
2012-07-05,Min DewpointF,58
2012-07-06,Max Dew PointF,72
2012-07-06,Max Humidity,97
2012-07-06, Max Sea Level PressureIn,29.98
2012-07-06, Max VisibilityMiles,10
2012-07-06, Max Wind SpeedMPH,13
2012-07-06,PrecipitationIn,0.00
2012-07-06, Mean Wind SpeedMPH,2
2012-07-06, WindDirDegrees,286
2012-07-06, Mean Sea Level PressureIn,29.95
2012-07-06,Mean TemperatureF,87
2012-07-06, Min Sea Level PressureIn,29.89
2012-07-06, Mean VisibilityMiles,10
2012-07-06,Min DewpointF,63
2012-07-06, Mean Humidity,62
2012-07-06, Min Humidity,27
2012-07-06,MeanDew PointF,67
2012-07-06, Min VisibilityMiles,10
2012-07-06,Max TemperatureF,104
2012-07-06, Max Gust SpeedMPH,17.0
2012-07-06,Min TemperatureF,69
2012-07-07, Mean Sea Level PressureIn,29.94
2012-07-07,Min TemperatureF,72
2012-07-07,PrecipitationIn,0.36
2012-07-07, Mean Wind SpeedMPH,3
2012-07-07,Max TemperatureF,106
2012-07-07, Max Sea Level PressureIn,29.97
2012-07-07, Min VisibilityMiles,2
2012-07-07,Mean TemperatureF,89
2012-07-07,Min DewpointF,56
2012-07-07, Mean VisibilityMiles,9
2012-07-07, Events,Rain-Thunderstorm
2012-07-07,Max Humidity,91
2012-07-07,MeanDew PointF,70
2012-07-07, CloudCover,3
2012-07-07, Min Humidity,19
2012-07-07, WindDirDegrees,133
2012-07-07, Max Wind SpeedMPH,31
2012-07-07, Mean Humidity,55
2012-07-07, Max VisibilityMiles,10
2012-07-07, Max Gust SpeedMPH,46.0
2012-07-07, Min Sea Level PressureIn,29.89
2012-07-07,Max Dew PointF,77
2012-07-08,Max TemperatureF,95
2012-07-08, Mean Wind SpeedMPH,3
2012-07-08, Mean VisibilityMiles,9
2012-07-08, Max Sea Level PressureIn,30.04
2012-07-08,Mean TemperatureF,83
2012-07-08, Min VisibilityMiles,2
2012-07-08, Min Humidity,46
